week_ending,citations_that_week,cumulative
2026-01-18,0,0
2026-01-25,0,0
2026-02-01,0,0
2026-02-08,0,0
2026-02-15,0,0
2026-02-22,5,5
2026-03-01,10,15
2026-03-08,11,26
2026-03-15,17,43
2026-03-22,19,62
2026-03-29,11,73
2026-04-05,446,519
2026-04-12,836,1355
2026-04-19,782,2137
2026-04-26,746,2883
2026-05-03,635,3518
2026-05-10,579,4097
2026-05-17,727,4824
2026-05-24,506,5330
2026-05-31,767,6097
2026-06-07,1039,7136
2026-06-14,1555,8691
2026-06-21,2021,10712
2026-06-28,2722,13434
2026-07-05,3352,16786
2026-07-12,8859,25645
2026-07-19,7494,33139
2026-07-26,7683,40822
2026-08-02,6359,47181
2026-08-05,2891,50072
